人工纳米颗粒的物理性质对其生物毒性的影响研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
基于机器学习与COSMO-SAC的吉布斯能预测模型研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
面向二氧化碳催化转化的MOF设计及应用,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
超临界CO2辅助流体剪切制备石墨烯,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,3
椰壳基炭分子筛生产工艺研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
醇胺类离子液体预处理木质纤维素的研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
神经病理性疼痛的高电压门控性钙通道相关机制的研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
中药有效组分联合康复新对溃疡性结肠炎的治疗作用及机制研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
微量给粉器的设计与优化,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
番茄晚疫病相关NAC转录因子的鉴定,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
基于吡咯并吡咯二酮类有机小分子受体光伏材料的合成与性能名,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
抑制剂影响下长形密闭容器内甲烷/空气爆炸火焰传播特性研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
有序Ag纳米阵列的合成及其在二氧化碳还原中的应用,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
OLA1对胰腺癌耐药性的影响及其机制研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
热致形状记忆丙烯共聚物,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
一种前药型卟啉光敏剂的制备和光动力活性研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
果皮酵素发酵过程中抗氧化成分的变化规律研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
碳钢超疏水表面的制备与防腐性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
